line, threshold, probability, betrivers, draftkings, fanduel, mgm, pointsbet
Kyrie Irving O*points, 29.5, 0.7857477003513923, -200.0*, -454.0*, -410.0*, -451.0*, -456.0*, 
Kyrie Irving U*points, 29.5, 0.7829429123805449, -192.0*, -438.0*, -420.0*, -451.0*, -446.0*, 
Kyrie Irving O*rebast, 10.0, 0.21967299799107579, , 360.0*, 356.0*, 355.0*, 350.0*, 
Kyrie Irving U*rebast, 10.0, 0.4631427762268884, , 120.0*, 114.0*, 110.0*, 120.0*, 
Kyrie Irving O*threes, 3.5, 0.4900577276570611, -103, 105, 114, 100, 105, 
Kyrie Irving U*threes, 3.5, 0.574414060051794, -130, -125, -146, -135, -140, 
Russell Westbrook O*points, 8.0, 0.32351516539016534, 150.0*, 362.0*, 156.0*, 368.0*, 152.0*, 
Russell Westbrook U*points, 8.0, 0.42066860248678434, 142.0*, 142.0*, 142.0*, 122.0*, 142.0*, 
Russell Westbrook O*rebounds, 3.5, 0.5621553923417636, -139, -122, -132, -120, -130, 
Russell Westbrook U*rebounds, 3.5, 0.5006349994266783, 105, 102, 106, -115, 100, 
Russell Westbrook O*rebast, 7.0, 0.4069326883972193, , , 375.0*, -406.0*, 381.0*, 
Russell Westbrook U*rebast, 7.0, 0.4972947426367662, , , 139.0*, -171.0*, 126.0*, 
Russell Westbrook O*threes, 0.5, 0.5120015485869144, , 100, , -105, -110, 
Russell Westbrook U*threes, 0.5, 0.5488215488215488, , -120, , -125, -120, 
Russell Westbrook O*steals, 1.5, 0.3660459037817529, 175, , 180, 165, , 
Russell Westbrook U*steals, 1.5, 0.699894194187434, -240, , -235, -225, , 
Russell Westbrook O*blocks, 0.5, 0.3333333333333333, , , , 200, , 
Russell Westbrook U*blocks, 0.5, 0.7333333333333333, , , , -275, , 
Russell Westbrook O*turnovers, 1.5, 0.6, , , , -150, , 
Russell Westbrook U*turnovers, 1.5, 0.47619047619047616, , , , 110, , 
Russell Westbrook O*stlblk, 1.5, 0.5, , , , 100, , 
Russell Westbrook U*stlblk, 1.5, 0.574468085106383, , , , -135, , 
Norman Powell O*points, 11.5, 0.46663908200868515, , -118, 389.0*, -130, -125, 
Norman Powell U*points, 11.5, 0.4765626688416208, , -102, 157.0*, 100, -105, 
Daniel Gafford O*points, 7.5, 0.5423172562694947, -115, -118, -111, -135, -115, 
Daniel Gafford U*points, 7.5, 0.5149435873819941, 100, -102, -115, 100, -115, 
Daniel Gafford O*rebounds, 5.0, 0.3174859182492771, 418.0*, 424.0*, 418.0*, 420.0*, -450.0*, 
Daniel Gafford U*rebounds, 5.0, 0.4085581428864164, 430.0*, 152.0*, 150.0*, 145.0*, -185.0*, 
Norman Powell O*threes, 2.0, 0.8618197278911565, , -620.0*, -620.0*, -635.0*, -620.0*, 
